Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
3166030,What Is This Buzzing? Do You Hear It Too?,Luigi Malerba,"Malerba, Luigi",William Weaver,"=""""","=""""",0,3.50,"Farrar, Straus & Giroux",Hardcover,207,1969,1969,,2025/09/21,currently-reading,currently-reading (#1),currently-reading,,,,1,0
8921,"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,"Doyle, Arthur Conan","Anne Perry, Mark Hallaq","=""""","=""""",5,4.14,Signet,Mass Market Paperback,256,2001,1902,2025/09/19,2025/09/19,,,read,,,,1,0
60099,"The Worshipful Lucia (Lucia, #5)",E.F. Benson,"Benson, E.F.",,"=""0060913754""","=""9780060913755""",4,4.32,HarperCollins,Paperback,307,1987,1935,2025/09/19,2025/09/19,,,read,,,,1,0
60063,"Mapp and Lucia (Lucia, #4)",E.F. Benson,"Benson, E.F.",,"=""0141187689""","=""9780141187686""",5,4.22,Black Swan,Paperback,300,2004,1931,2025/09/19,2025/09/19,,,read,,,,1,0
95279,"Lucia in London (The Mapp & Lucia Novels, #3)",E.F. Benson,"Benson, E.F.",Micheál Mac Liammóir,"=""1559212772""","=""9781559212779""",5,4.21,Moyer Bell ,Paperback,240,1999,1927,2025/09/19,2025/09/19,,,read,,,,1,0
1127851,"Miss Mapp (Lucia, #2)",E.F. Benson,"Benson, E.F.",,"=""1559212756""","=""9781559212755""",4,4.10,Moyer Bell and its subsidiaries,Paperback,240,2005,1922,2025/09/19,2025/09/19,,,read,,,,1,0
60079,Queen Lucia,E.F. Benson,"Benson, E.F.",,"=""1592245889""","=""9781592245888""",5,3.92,Wildside Pr,Hardcover,300,2003,1920,2020/05/21,2020/05/06,favorite-list,favorite-list (#65),read,,,,3,0
956734,"The Fortune of the Rougons (Les Rougon-Macquart, #1)",Émile Zola,"Zola, Émile",,"=""0862992168""","=""9780862992163""",5,3.90,Sutton Pub Ltd,Paperback,348,1985,1871,2025/09/19,2012/08/04,to-read,to-read (#250),to-read,,,,1,0
588747,Lady Audley's Secret,Mary Elizabeth Braddon,"Braddon, Mary Elizabeth",,"=""0192835203""","=""9780192835208""",4,3.78,Oxford University Press,Paperback,455,1987,1862,2025/09/19,2021/11/30,,,read,,,,1,0
6669355,Some Tame Gazelle,Barbara Pym,"Pym, Barbara",Mavis Cheek,"=""1844085791""","=""9781844085798""",5,3.92,Virago,Paperback,254,2009,1950,2021/04/26,2021/04/21,favorite-list,favorite-list (#93),read,,,,3,0
55409229,The High House,Jessie Greengrass,"Greengrass, Jessie",,"=""1800750072""","=""9781800750074""",0,3.95,SWIFT PRESS,Hardcover,277,2021,2021,,2021/11/27,to-read,to-read (#1073),to-read,,,,0,0
